700 (cycle, state) pages to scrape across 14 cycles
  2016 WI: 37 result rows, 14 party-races
  2016 WY (at-large): 17 result rows, 2 party-races
  ... 500/700 pages checked, 5889 rows so far, 252 pages had primary data
  2018 AL: 19 result rows, 7 party-races
  2018 AK (at-large): 5 result rows, 2 party-races
  2018 AZ: 38 result rows, 17 party-races
  2018 AR: 8 result rows, 3 party-races
  2018 CA: 8 result rows, 5 party-races
  2018 CO: 24 result rows, 14 party-races
  2018 CT: 5 result rows, 2 party-races
  2018 DE (at-large): 2 result rows, 1 party-races
  2018 FL: 86 result rows, 31 party-races
  2018 GA: 52 result rows, 26 party-races
  2018 HI: 13 result rows, 4 party-races
  2018 ID: 13 result rows, 4 party-races
  2018 IL: 80 result rows, 36 party-races
  2018 IN: 71 result rows, 18 party-races
  2018 IA: 25 result rows, 8 party-races
  2018 KS: 24 result rows, 8 party-races
  2018 KY: 24 result rows, 8 party-races
  2018 ME: 7 result rows, 4 party-races
  2018 MD: 55 result rows, 16 party-races
  2018 MA: 34 result rows, 14 party-races
  2018 MI: 57 result rows, 28 party-races
  2018 MN: 16 result rows, 7 party-races
  2018 MS: 16 result rows, 7 party-races
  2018 MO: 39 result rows, 16 party-races
  2018 MT (at-large): 7 result rows, 2 party-races
  2018 NE: 11 result rows, 6 party-races
  2018 NV: 42 result rows, 8 party-races
  2018 NH: 25 result rows, 4 party-races
  2018 NJ: 49 result rows, 24 party-races
  2018 NM: 15 result rows, 6 party-races
  2018 NY: 52 result rows, 14 party-races
  2018 NC: 48 result rows, 17 party-races
  2018 ND (at-large): 5 result rows, 1 party-races
  2018 OH: 83 result rows, 32 party-races
  2018 OK: 45 result rows, 9 party-races
  2018 OR: 43 result rows, 10 party-races
  2018 PA: 84 result rows, 35 party-races
  2018 RI: 6 result rows, 4 party-races
  2018 SC: 46 result rows, 9 party-races
  2018 SD (at-large): 3 result rows, 1 party-races
  2018 TN: 49 result rows, 18 party-races
  2018 TX: 247 result rows, 68 party-races
  2018 UT: 4 result rows, 2 party-races
  2018 VT (at-large): 8 result rows, 2 party-races
  2018 VA: 25 result rows, 9 party-races
  2018 WA: 2 result rows, 1 party-races
  2018 WV: 18 result rows, 6 party-races
  2018 WI: 25 result rows, 15 party-races
  2018 WY (at-large): 7 result rows, 2 party-races
  ... 550/700 pages checked, 7559 rows so far, 301 pages had primary data
  2020 AL: 25 result rows, 5 party-races
  2020 AK (at-large): 5 result rows, 2 party-races
  2020 AZ: 38 result rows, 18 party-races
  2020 CO: 16 result rows, 14 party-races
  2020 CT: 4 result rows, 2 party-races
  2020 DE (at-large): 2 result rows, 1 party-races
  2020 FL: 91 result rows, 29 party-races
  2020 GA: 85 result rows, 28 party-races
  2020 HI: 19 result rows, 4 party-races
  2020 ID: 7 result rows, 4 party-races
  2020 IL: 77 result rows, 35 party-races
  2020 IN: 78 result rows, 18 party-races
  2020 IA: 18 result rows, 8 party-races
  2020 KS: 19 result rows, 8 party-races
  2020 KY: 16 result rows, 7 party-races
  2020 LA: 2 result rows, 1 party-races
  2020 ME: 6 result rows, 4 party-races
  2020 MD: 79 result rows, 16 party-races
