year,state,office,district,candidate,party_std,pct,end_date,sample_size,pollster,poll_id,election_date,cand_key,display_party,race_id,days_to_elec
2026,FL,Senate,S,Ashley Moody,REP,43.0,2026-04-03,574.0,Public Policy Polling,cd9f4a7f-1185-4e27-89ae-9e8998e548b4,2026-11-03,moody a,REP,2026_FL_Senate-S,214
2026,FL,Senate,S,Alexander Vindman,DEM,40.0,2026-04-03,574.0,Public Policy Polling,cd9f4a7f-1185-4e27-89ae-9e8998e548b4,2026-11-03,vindman a,DEM,2026_FL_Senate-S,214
2026,ME,Senate,,Susan M. Collins,REP,45.0,2026-03-31,1167.0,Maine People's Resource Center,aa477250-005b-48ed-9b69-46af9f7611e8,2026-11-03,collins s,REP,2026_ME_Senate,217
2026,ME,Senate,,Janet T. Mills,DEM,41.9,2026-03-31,1167.0,Maine People's Resource Center,aa477250-005b-48ed-9b69-46af9f7611e8,2026-11-03,mills j,DEM,2026_ME_Senate,217
2026,ME,Senate,,Graham Platner,DEM,48.3,2026-03-31,1167.0,Maine People's Resource Center,aa477250-005b-48ed-9b69-46af9f7611e8,2026-11-03,platner g,DEM,2026_ME_Senate,217
2026,MN,Senate,,Michele Tafoya,REP,45.0,2025-07-11,604.0,Impact Research,6f8bb5af-f7e9-44e4-9add-cd24ab28b7c1,2026-11-03,tafoya m,REP,2026_MN_Senate,480
2026,MN,Senate,,Peggy Flanagan,DEM,48.0,2025-07-11,604.0,Impact Research,6f8bb5af-f7e9-44e4-9add-cd24ab28b7c1,2026-11-03,flanagan p,DEM,2026_MN_Senate,480
2026,MN,Senate,,Angie Craig,DEM,49.0,2025-07-11,604.0,Impact Research,6f8bb5af-f7e9-44e4-9add-cd24ab28b7c1,2026-11-03,craig a,DEM,2026_MN_Senate,480
2026,NC,Senate,,Michael Whatley,REP,43.8,2026-04-01,987.0,Quantus Insights,c0fcba01-5063-4e27-8510-929b048c6aa3,2026-11-03,whatley m,REP,2026_NC_Senate,216
2026,NC,Senate,,Roy A. Cooper,DEM,48.6,2026-04-01,987.0,Quantus Insights,c0fcba01-5063-4e27-8510-929b048c6aa3,2026-11-03,cooper r,DEM,2026_NC_Senate,216
2026,FL,Senate,S,Ashley Moody,REP,47.3,2026-03-31,1125.0,Emerson College,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,2026-11-03,moody a,REP,2026_FL_Senate-S,217
2026,FL,Senate,S,Angie Nixon,DEM,36.3,2026-03-31,1125.0,Emerson College,0c1d5568-d122-4047-b18a-d2ae1f2bc8c1,2026-11-03,nixon a,DEM,2026_FL_Senate-S,217
