year,office,state,district,party,candidate,cand_key,is_winner,status,office_level,source
2004,House,NY,27,DEM,Brian Higgins,higgins b,True,pending,,
2004,House,NY,27,REP,Nancy A. Naples,naples n,False,pending,,
2004,House,OK,1,DEM,Doug Dodd,dodd d,False,pending,,
2004,House,OK,1,REP,John A. Sullivan,sullivan j,True,pending,,
2004,House,PA,15,DEM,Joe Driscoll,driscoll j,False,pending,,
2004,House,PA,17,REP,Scott G. Paterno,paterno s,False,pending,,
2004,House,SD,1,DEM,Stephanie Herseth Sandlin,sandlin s,True,pending,,
2004,House,TX,17,DEM,Thomas Edwards,edwards t,True,pending,,
2004,House,TX,32,DEM,Jonas Frost,frost j,False,pending,,
2004,Senate,UT,,DEM,R. Paul Van Dam,dam r,False,pending,,
2004,Senate,UT,,REP,Robert F. Bennett,bennett r,True,pending,,
2006,House,AK,1,DEM,Diane Benson,benson d,False,pending,,
2006,House,CO,5,DEM,Jay Fawcett,fawcett j,False,pending,,
2006,Governor,CT,,REP,M. Jodi Rell,rell m,True,pending,,
2006,Senate,CT,,DEM,Edward Lamont,lamont e,False,pending,,
2006,House,DE,1,REP,Michael N. Castle,castle m,True,pending,,
2006,House,FL,22,REP,E. Clay Shaw,shaw e,False,pending,,
2006,House,FL,24,REP,Tom Feeney,feeney t,True,pending,,
2006,House,FL,5,REP,Virginia Brown-Waite,waite v,True,pending,,
2006,House,ID,1,DEM,Larry Grant,grant l,False,pending,,
2006,House,ID,1,REP,William T. Sali,sali w,True,pending,,
2006,House,IL,14,REP,J. Dennis Hastert,hastert j,True,pending,,
2006,House,KY,2,DEM,John Michael Weaver,weaver j,False,pending,,
2006,Senate,MA,,DEM,Edward M. Kennedy,kennedy e,True,pending,,
2006,Governor,MD,,REP,Robert Ehrlich Jr.,ehrlich r,False,pending,,
2006,House,MN,5,REP,Alan Fine,fine a,False,pending,,
2006,House,NC,11,DEM,Joseph Heath Shuler,shuler j,True,pending,,
2006,Senate,NJ,,DEM,Robert Menendez,menendez r,False,pending,,
2006,House,NM,3,REP,Ronald M. Dolin,dolin r,False,pending,,
2006,Senate,NM,,REP,Allen W. McCulloch MD,md a,False,pending,,
2006,House,NV,3,DEM,Tessa M. Hafen,hafen t,False,pending,,
2006,House,NY,19,DEM,John Hall,hall j,True,pending,,
2006,House,NY,19,REP,Sue W. Kelly,kelly s,False,pending,,
2006,House,NY,24,DEM,Michael A. Arcuri,arcuri m,True,pending,,
2006,House,NY,24,REP,Raymond A. Meier,meier r,False,pending,,
2006,House,NY,25,DEM,Daniel B. Maffei,maffei d,False,pending,,
2006,House,NY,25,REP,James T. Walsh,walsh j,True,pending,,
2006,House,NY,26,DEM,Jack Davis,davis j,False,pending,,
2006,House,NY,26,REP,Thomas M. Reynolds,reynolds t,True,pending,,
2006,House,NY,29,DEM,Eric J. Massa,massa e,False,pending,,
2006,House,NY,29,REP,John R. Kuhl,kuhl j,True,pending,,
2006,House,NY,3,DEM,David L. Mejias,mejias d,False,pending,,
2006,House,NY,3,REP,Peter King,king p,True,pending,,
2006,Governor,OH,,REP,J. Kenneth Blackwell,blackwell j,False,pending,,
2006,House,OH,12,DEM,Robert Shamansky,shamansky r,False,pending,,
2006,House,OH,12,REP,Patrick J. Tiberi,tiberi p,True,pending,,
2006,House,OH,13,DEM,Betty Sutton,sutton b,True,pending,,
2006,House,OH,13,REP,L. Craig Foltin,foltin l,False,pending,,
2006,House,OH,15,DEM,Mary Jo Kilroy,kilroy m,False,pending,,
2006,House,OH,15,REP,Deborah D. Pryce,pryce d,True,pending,,
2006,House,OH,18,DEM,Zachary T. Space,space z,True,pending,,
2006,House,OH,18,REP,Joy Padgett,padgett j,False,pending,,
2006,House,PA,12,REP,Diana Irey Vaughan,vaughan d,False,pending,,
2006,House,PA,6,DEM,Lois Murphy,murphy l,False,pending,,
2006,House,PA,7,REP,W. Curtis Weldon,weldon w,False,pending,,
2006,House,SC,5,DEM,John M. Spratt,spratt j,True,pending,,
2006,House,SD,1,DEM,Stephanie Herseth Sandlin,sandlin s,True,pending,,
2006,House,TX,17,DEM,Thomas Edwards,edwards t,True,pending,,
2006,House,TX,22,OTH,Shelley Sekula Gibbs,gibbs s,False,pending,,
2006,House,TX,23,REP,Henry Bonilla,bonilla h,False,pending,,
2006,House,VA,5,DEM,Albert C. Weed,weed a,False,pending,,
2006,House,WA,2,DEM,Rick Larsen,larsen r,True,pending,,
2006,House,WA,5,REP,Cathy McMorris Rodgers,rodgers c,True,pending,,
2006,House,WA,8,REP,David G. Reichert,reichert d,True,pending,,
2008,House,AK,1,DEM,Ethan Berkowitz,berkowitz e,False,pending,,
2008,House,AL,5,DEM,Rolf Parker Griffith,griffith r,True,pending,,
2008,House,AZ,3,DEM,Bob Lord,lord b,False,pending,,
2008,House,CA,11,DEM,Jerry McNerney,mcnerney j,True,pending,,
2008,House,CA,50,REP,Brian P. Bilbray,bilbray b,True,pending,,
2008,House,CT,2,DEM,Joe Courtney,courtney j,True,pending,,
2008,House,CT,4,DEM,Jim Himes,himes j,True,pending,,
2008,Governor,DE,,REP,William S. Lee,lee w,False,pending,,
2008,House,FL,10,REP,Charles William Young,young c,False,pending,,
2008,House,FL,13,REP,Vern Buchanan,buchanan v,True,pending,,
2008,House,FL,16,DEM,Tim Mahoney,mahoney t,False,pending,,
2008,House,FL,18,REP,Ileana Ros-Lehtinen,lehtinen i,True,pending,,
2008,House,FL,21,REP,Lincoln Diaz-Balart,balart l,True,pending,,
2008,House,FL,24,REP,Tom Feeney,feeney t,False,pending,,
2008,House,FL,25,REP,Mario Diaz-Balart,balart m,True,pending,,
2008,House,FL,8,REP,Richard Keller,keller r,False,pending,,
2008,House,FL,9,REP,Gus Michael Bilirakis,bilirakis g,True,pending,,
2008,House,GA,8,DEM,James Marshall,marshall j,True,pending,,
