year,state,office,district,party_std,candidate,cand_key,pct,pollster,sample_size,population,end_date,election_date,race_id,won
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,4.0,Gravis Marketing,543.0,,6/15/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,19.0,Gravis Marketing,543.0,,6/15/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,28.999999999999996,Gravis Marketing,543.0,,6/15/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,5.0,Gravis Marketing,543.0,,6/15/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,15.0,Cherry Communications,501.0,,6/9/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,32.0,Cherry Communications,501.0,,6/9/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,13.0,Saint Leo University,175.0,,5/31/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,35.0,Saint Leo University,175.0,,5/31/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,16.0,Florida Atlantic University,371.0,,5/7/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,15.0,Florida Atlantic University,371.0,,5/7/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,3.0,Florida Atlantic University,371.0,,5/7/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,7.000000000000001,1892 Polling (R-DeSantis),800.0,,4/23/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,30.0,1892 Polling (R-DeSantis),800.0,,4/23/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,23.0,1892 Polling (R-DeSantis),800.0,,4/23/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,3.0,Gravis Marketing,,,3/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,19.0,Gravis Marketing,,,3/19/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,0.0,Gravis Marketing,,,3/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,17.0,Gravis Marketing,,,3/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,0.0,Gravis Marketing,,,3/19/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,6.0,North Star Opinion Research (R-DeSantis),600.0,,3/15/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,21.0,North Star Opinion Research (R-DeSantis),600.0,,3/15/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,19.0,North Star Opinion Research (R-DeSantis),600.0,,3/15/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,7.000000000000001,Saint Leo University,175.0,,2/24/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,14.000000000000002,Saint Leo University,175.0,,2/24/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,3.0,Saint Leo University,175.0,,2/24/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,15.0,Saint Leo University,175.0,,2/24/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,5.0,Saint Leo University,175.0,,2/24/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,3.0,Gravis Marketing,,,2/18/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,16.0,Gravis Marketing,,,2/18/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Jack Latvala,latvala j,0.0,Gravis Marketing,,,2/18/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Adam Putnam,putnam a,18.0,Gravis Marketing,,,2/18/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Bob White,white b,2.0,Gravis Marketing,,,2/18/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,7.000000000000001,Mason-Dixon,500.0,,2/1/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,23.0,Mason-Dixon,500.0,,2/1/18,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,27.0,Mason-Dixon,500.0,,2/1/18,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,3.0,Remington,1423.0,,12/31/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,28.000000000000004,Remington,1423.0,,12/31/17,2018-08-28,2018_FL_Governor_REP,1
2018,FL,Governor,,REP,Adam Putnam,putnam a,25.0,Remington,1423.0,,12/31/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Richard Corcoran,corcoran r,2.0,Gravis Marketing,,,12/24/17,2018-08-28,2018_FL_Governor_REP,0
2018,FL,Governor,,REP,Ron DeSantis,desantis r,12.0,Gravis Marketing,,,12/24/17,2018-08-28,2018_FL_Governor_REP,1
